"cmp1","cmp2","param1","param2","n_jobs","mean1","mean2","p_wilcoxon","p_ttest","significant_wilcoxon","significant_ttest","better","agreement"
"random","srz","first","transpose",50,4.096,7.578,3.48429092269497e-165,0,TRUE,TRUE,"random",TRUE
"random","srz","first","transpose",100,25.428,47.451,1.0604671389753e-164,0,TRUE,TRUE,"random",TRUE
"random","srz","first","transpose",200,243.295,366.436,5.0750241246628e-156,0,TRUE,TRUE,"random",TRUE
"random","srz","first","exchange",50,132.567,33.322,3.33085391241946e-165,0,TRUE,TRUE,"srz",TRUE
"random","srz","first","exchange",100,2563.38,773.893,3.33085578663341e-165,0,TRUE,TRUE,"srz",TRUE
"random","srz","first","exchange",200,61996.319,16770.441,3.33085391241946e-165,0,TRUE,TRUE,"srz",TRUE
"random","srz","first","insert",50,281.179,94.924,3.33085391241946e-165,0,TRUE,TRUE,"srz",TRUE
"random","srz","first","insert",100,5701.717,1949.582,3.33085203820656e-165,0,TRUE,TRUE,"srz",TRUE
"random","srz","first","insert",200,122218.084,30966.071,3.33083517033725e-165,0,TRUE,TRUE,"srz",TRUE
"random","srz","best","transpose",50,4.196,7.738,3.34086974400759e-165,0,TRUE,TRUE,"random",TRUE
"random","srz","best","transpose",100,25.184,48.207,3.33085578663341e-165,0,TRUE,TRUE,"random",TRUE
"random","srz","best","transpose",200,222.106,367.237,3.33085578663341e-165,0,TRUE,TRUE,"random",TRUE
"random","srz","best","exchange",50,80.158,31.519,3.33085578663341e-165,0,TRUE,TRUE,"srz",TRUE
"random","srz","best","exchange",100,1258.187,508.617,3.40160143871492e-165,0,TRUE,TRUE,"srz",TRUE
"random","srz","best","exchange",200,20893.002,6805.574,3.33085578663341e-165,0,TRUE,TRUE,"srz",TRUE
"random","srz","best","insert",50,178.227,82.787,3.33085578663341e-165,0,TRUE,TRUE,"srz",TRUE
"random","srz","best","insert",100,2714.232,1168.46,3.33085578663341e-165,0,TRUE,TRUE,"srz",TRUE
"random","srz","best","insert",200,42327.715,16386.403,3.33085578663341e-165,0,TRUE,TRUE,"srz",TRUE
"first","best","random","transpose",50,4.096,4.196,0.0078079157390312,0.00404095718756157,TRUE,TRUE,"first",TRUE
"first","best","random","transpose",100,25.428,25.184,0.985939249700934,0.313163764078725,FALSE,FALSE,"best",TRUE
"first","best","random","transpose",200,243.295,222.106,1.5697364104447e-19,1.51970772180063e-20,TRUE,TRUE,"best",TRUE
"first","best","random","exchange",50,132.567,80.158,3.08673784411894e-163,0,TRUE,TRUE,"best",TRUE
