"cmp1","cmp2","param1","param2","mean1","mean2","p_wilcoxon","p_ttest","significant_wilcoxon","significant_ttest","better","agreement"
"random","srz","first","transpose",19.279,6.225,0,0,TRUE,TRUE,"srz",TRUE
"random","srz","first","exchange",3.102,3.892,0,0,TRUE,TRUE,"random",TRUE
"random","srz","first","insert",3.937,3.142,5.39547746717074e-308,0,TRUE,TRUE,"srz",TRUE
"random","srz","best","transpose",20.028,6.218,0,0,TRUE,TRUE,"srz",TRUE
"random","srz","best","exchange",5.626,4.542,0,0,TRUE,TRUE,"srz",TRUE
"random","srz","best","insert",5.007,3.591,0,0,TRUE,TRUE,"srz",TRUE
"first","best","random","transpose",19.279,20.028,1.91006472583954e-50,2.16910985489509e-48,TRUE,TRUE,"first",TRUE
"first","best","random","exchange",3.102,5.626,0,0,TRUE,TRUE,"first",TRUE
"first","best","random","insert",3.937,5.007,0,0,TRUE,TRUE,"first",TRUE
"first","best","srz","transpose",6.225,6.218,0.0770349195234569,0.1064629509364,FALSE,FALSE,"best",TRUE
"first","best","srz","exchange",3.892,4.542,4.36392364919247e-254,3.97419790155958e-288,TRUE,TRUE,"first",TRUE
"first","best","srz","insert",3.142,3.591,1.23263271337541e-249,1.18309691107059e-291,TRUE,TRUE,"first",TRUE
"transpose","exchange","random","first",19.279,3.102,0,0,TRUE,TRUE,"exchange",TRUE
"transpose","exchange","random","best",20.028,5.626,0,0,TRUE,TRUE,"exchange",TRUE
"transpose","exchange","srz","first",6.225,3.892,0,0,TRUE,TRUE,"exchange",TRUE
"transpose","exchange","srz","best",6.218,4.542,0,0,TRUE,TRUE,"exchange",TRUE
"transpose","insert","random","first",19.279,3.937,0,0,TRUE,TRUE,"insert",TRUE
"transpose","insert","random","best",20.028,5.007,0,0,TRUE,TRUE,"insert",TRUE
"transpose","insert","srz","first",6.225,3.142,0,0,TRUE,TRUE,"insert",TRUE
"transpose","insert","srz","best",6.218,3.591,0,0,TRUE,TRUE,"insert",TRUE
"exchange","insert","random","first",3.102,3.937,4.38803452065756e-261,2.0096910649626e-318,TRUE,TRUE,"exchange",TRUE
"exchange","insert","random","best",5.626,5.007,9.5220680826448e-130,3.85819129561238e-142,TRUE,TRUE,"insert",TRUE
"exchange","insert","srz","first",3.892,3.142,4.58709577758626e-287,0,TRUE,TRUE,"insert",TRUE
"exchange","insert","srz","best",4.542,3.591,0,0,TRUE,TRUE,"insert",TRUE
