instance, n_jobs, fitness, pct_dev, pivot_rule, neighborhood, initialization_method, time_ms
ta051,50,149480,18.7943,first,transpose,random,4.86196
ta051,50,143771,14.2572,first,transpose,random,3.9977
ta051,50,144879,15.1378,first,transpose,random,4.53071
ta051,50,148454,17.9789,first,transpose,random,3.04024
ta051,50,149613,18.9,first,transpose,random,3.1696
ta051,50,148697,18.172,first,transpose,random,3.33974
ta051,50,146750,16.6247,first,transpose,random,3.37502
ta051,50,143734,14.2278,first,transpose,random,3.78581
ta051,50,148738,18.2046,first,transpose,random,4.42589
ta051,50,147213,16.9926,first,transpose,random,4.12001
ta051,50,133120,5.79269,first,transpose,srz,8.23324
ta051,50,133120,5.79269,first,transpose,srz,7.73781
ta051,50,133474,6.07402,first,transpose,srz,7.22049
ta051,50,133120,5.79269,first,transpose,srz,7.53124
ta051,50,133120,5.79269,first,transpose,srz,7.51882
ta051,50,133474,6.07402,first,transpose,srz,7.278
ta051,50,133474,6.07402,first,transpose,srz,7.32902
ta051,50,133474,6.07402,first,transpose,srz,7.54623
ta051,50,133474,6.07402,first,transpose,srz,7.31997
ta051,50,133474,6.07402,first,transpose,srz,7.38443
ta051,50,129775,3.13436,first,exchange,random,126.526
ta051,50,129544,2.95078,first,exchange,random,128.333
ta051,50,130666,3.84246,first,exchange,random,129.233
ta051,50,130809,3.9561,first,exchange,random,110.041
ta051,50,131679,4.6475,first,exchange,random,131.654
ta051,50,130261,3.5206,first,exchange,random,120.767
ta051,50,130702,3.87107,first,exchange,random,101.881
ta051,50,130145,3.42841,first,exchange,random,121.58
ta051,50,131184,4.25412,first,exchange,random,105.396
ta051,50,130402,3.63265,first,exchange,random,130.509
ta051,50,130583,3.77649,first,exchange,srz,32.3638
ta051,50,132577,5.36116,first,exchange,srz,19.0013
ta051,50,130583,3.77649,first,exchange,srz,35.007
ta051,50,132577,5.36116,first,exchange,srz,19.9083
ta051,50,130583,3.77649,first,exchange,srz,36.1868
ta051,50,132577,5.36116,first,exchange,srz,19.7458
ta051,50,132577,5.36116,first,exchange,srz,19.3581
ta051,50,130583,3.77649,first,exchange,srz,31.4755
ta051,50,132577,5.36116,first,exchange,srz,19.8643
ta051,50,132577,5.36116,first,exchange,srz,22.2748
ta051,50,131432,4.45121,first,insert,random,306.934
ta051,50,130574,3.76934,first,insert,random,234.661
ta051,50,129190,2.66945,first,insert,random,343.128
