instance, n_jobs, fitness, pct_dev, neighborhood_order, time_ms
ta051,50,129565,2.96747,tei,62.227
ta051,50,129565,2.96747,tei,75.2725
ta051,50,129565,2.96747,tei,75.6085
ta051,50,129565,2.96747,tei,77.7202
ta051,50,129565,2.96747,tei,68.5028
ta051,50,129565,2.96747,tei,76.867
ta051,50,129565,2.96747,tei,77.4305
ta051,50,129380,2.82045,tei,92.7198
ta051,50,129380,2.82045,tei,86.6866
ta051,50,129380,2.82045,tei,89.4849
ta051,50,129629,3.01833,tie,74.077
ta051,50,129629,3.01833,tie,62.7429
ta051,50,129629,3.01833,tie,74.2947
ta051,50,129629,3.01833,tie,77.4048
ta051,50,129629,3.01833,tie,75.4856
ta051,50,129629,3.01833,tie,79.5464
ta051,50,129629,3.01833,tie,67.4583
ta051,50,129629,3.01833,tie,78.3197
ta051,50,129629,3.01833,tie,73.4847
ta051,50,129629,3.01833,tie,87.2071
ta052,50,123289,3.3896,tei,62.4244
ta052,50,123289,3.3896,tei,58.9521
ta052,50,123090,3.22272,tei,80.0705
ta052,50,122409,2.65164,tei,88.7359
ta052,50,122409,2.65164,tei,94.0051
ta052,50,122409,2.65164,tei,96.4576
ta052,50,122409,2.65164,tei,95.3044
ta052,50,122409,2.65164,tei,100.894
ta052,50,122409,2.65164,tei,102.652
ta052,50,122409,2.65164,tei,117.784
ta052,50,121862,2.19293,tie,99.8356
ta052,50,121862,2.19293,tie,108.603
ta052,50,121862,2.19293,tie,113.145
ta052,50,121862,2.19293,tie,115.081
ta052,50,121976,2.28853,tie,103.379
ta052,50,121862,2.19293,tie,120.911
ta052,50,121976,2.28853,tie,109.532
ta052,50,121862,2.19293,tie,124.424
ta052,50,121862,2.19293,tie,120.201
ta052,50,121976,2.28853,tie,117.162
ta053,50,120327,3.32134,tei,76.8554
ta053,50,120327,3.32134,tei,72.5256
ta053,50,120327,3.32134,tei,79.5613
ta053,50,120327,3.32134,tei,76.9104
ta053,50,120327,3.32134,tei,80.2701
ta053,50,120327,3.32134,tei,76.617
ta053,50,120327,3.32134,tei,69.9092
ta053,50,120327,3.32134,tei,70.663
ta053,50,120327,3.32134,tei,78.3726
ta053,50,120327,3.32134,tei,85.0392
ta053,50,119491,2.60349,tie,80.0319
ta053,50,119491,2.60349,tie,74.389
ta053,50,119491,2.60349,tie,81.1671
ta053,50,119491,2.60349,tie,86.4309
ta053,50,119491,2.60349,tie,86.799
ta053,50,119491,2.60349,tie,89.4257
ta053,50,119491,2.60349,tie,85.2657
ta053,50,119491,2.60349,tie,86.5208
ta053,50,119491,2.60349,tie,86.002
ta053,50,119491,2.60349,tie,84.205
ta054,50,123670,2.83467,tei,107.766
ta054,50,123670,2.83467,tei,113.617
ta054,50,123670,2.83467,tei,113.606
ta054,50,123670,2.83467,tei,113.721
ta054,50,123670,2.83467,tei,110.558
ta054,50,123670,2.83467,tei,123.502
ta054,50,123670,2.83467,tei,116.307
ta054,50,123670,2.83467,tei,109.691
ta054,50,123670,2.83467,tei,117.517
ta054,50,123670,2.83467,tei,126.119
ta054,50,124241,3.30947,tie,65.5784
ta054,50,124241,3.30947,tie,69.3755
ta054,50,124241,3.30947,tie,69.1581
ta054,50,124241,3.30947,tie,77.9271
ta054,50,124241,3.30947,tie,73.5545
ta054,50,124241,3.30947,tie,86.9865
ta054,50,124241,3.30947,tie,89.3248
ta054,50,124241,3.30947,tie,78.8846
ta054,50,124241,3.30947,tie,83.4107
ta054,50,124241,3.30947,tie,79.1303
ta055,50,121700,2.97502,tei,169.632
ta055,50,121700,2.97502,tei,169.683
ta055,50,121700,2.97502,tei,175.636
ta055,50,121700,2.97502,tei,172.414
ta055,50,121051,2.42588,tei,210.831
ta055,50,121051,2.42588,tei,220.611
ta055,50,121051,2.42588,tei,209.304
ta055,50,121051,2.42588,tei,222.691
ta055,50,121051,2.42588,tei,237.209
ta055,50,121051,2.42588,tei,228.624
ta055,50,121863,3.11294,tie,65.1436
ta055,50,121863,3.11294,tie,70.0364
ta055,50,121863,3.11294,tie,74.6406
ta055,50,121863,3.11294,tie,69.0356
ta055,50,121863,3.11294,tie,62.0732
ta055,50,121863,3.11294,tie,66.7787
ta055,50,122461,3.61893,tie,71.9568
ta055,50,122461,3.61893,tie,81.9699
ta055,50,122461,3.61893,tie,77.712
ta055,50,122461,3.61893,tie,84.7229
ta056,50,124745,3.44899,tei,64.7567
ta056,50,124745,3.44899,tei,68.0643
ta056,50,124745,3.44899,tei,70.8673
ta056,50,124745,3.44899,tei,62.3466
ta056,50,124745,3.44899,tei,80.0926
ta056,50,124745,3.44899,tei,70.9946
ta056,50,124745,3.44899,tei,68.6387
ta056,50,124745,3.44899,tei,82.6463
ta056,50,124745,3.44899,tei,72.4281
ta056,50,124745,3.44899,tei,69.5295
ta056,50,123596,2.49614,tie,96.9899
ta056,50,123596,2.49614,tie,106.607
ta056,50,123596,2.49614,tie,97.7055
ta056,50,123596,2.49614,tie,107.401
ta056,50,123596,2.49614,tie,107.509
ta056,50,123596,2.49614,tie,105.198
ta056,50,123596,2.49614,tie,108.356
ta056,50,123596,2.49614,tie,103.646
ta056,50,123596,2.49614,tie,102.923
ta056,50,123596,2.49614,tie,108.096
ta057,50,126436,2.89388,tei,68.9591
ta057,50,126436,2.89388,tei,73.0239
ta057,50,126436,2.89388,tei,73.0364
ta057,50,126436,2.89388,tei,76.1796
ta057,50,126436,2.89388,tei,72.2262
ta057,50,126436,2.89388,tei,78.0296
ta057,50,126436,2.89388,tei,70.8937
ta057,50,126436,2.89388,tei,69.5501
ta057,50,126436,2.89388,tei,79.7115
ta057,50,126436,2.89388,tei,73.5351
ta057,50,125797,2.37386,tie,85.1695
ta057,50,125797,2.37386,tie,87.9936
ta057,50,125797,2.37386,tie,97.0723
ta057,50,125797,2.37386,tie,91.3459
ta057,50,125797,2.37386,tie,96.7173
ta057,50,125797,2.37386,tie,103.284
ta057,50,125797,2.37386,tie,104.536
ta057,50,125797,2.37386,tie,107.147
ta057,50,125797,2.37386,tie,99.958
ta057,50,125797,2.37386,tie,99.1621
ta058,50,125894,2.77984,tei,74.1343
ta058,50,126091,2.94067,tei,82.6377
ta058,50,125894,2.77984,tei,69.3896
ta058,50,126091,2.94067,tei,92.3672
ta058,50,126091,2.94067,tei,92.6777
ta058,50,126294,3.1064,tei,122.593
ta058,50,126294,3.1064,tei,119.976
ta058,50,126294,3.1064,tei,124.988
ta058,50,126294,3.1064,tei,116.857
ta058,50,126294,3.1064,tei,123.587
ta058,50,126634,3.38398,tie,58.3866
ta058,50,126634,3.38398,tie,69.1751
ta058,50,126634,3.38398,tie,57.7599
ta058,50,126249,3.06966,tie,96.6449
ta058,50,126249,3.06966,tie,87.6636
ta058,50,126249,3.06966,tie,92
ta058,50,126249,3.06966,tie,94.7828
ta058,50,126811,3.52848,tie,110.063
ta058,50,126811,3.52848,tie,108.3
ta058,50,126811,3.52848,tie,120.308
ta059,50,124451,2.11615,tei,98.9142
ta059,50,125832,3.24931,tei,127.063
ta059,50,125832,3.24931,tei,127.781
ta059,50,125832,3.24931,tei,115.051
ta059,50,125832,3.24931,tei,123.736
ta059,50,125832,3.24931,tei,120.23
ta059,50,125832,3.24931,tei,129.308
ta059,50,125832,3.24931,tei,124.067
ta059,50,125028,2.5896,tei,155.222
ta059,50,125028,2.5896,tei,157.21
ta059,50,125213,2.7414,tie,91.3188
ta059,50,125213,2.7414,tie,84.7452
ta059,50,125213,2.7414,tie,92.8827
ta059,50,125213,2.7414,tie,88.4944
ta059,50,125213,2.7414,tie,88.658
ta059,50,125213,2.7414,tie,93.0653
ta059,50,125213,2.7414,tie,90.1487
ta059,50,124228,1.93318,tie,112.608
ta059,50,124228,1.93318,tie,111.881
ta059,50,124228,1.93318,tie,117.216
ta060,50,128500,3.66749,tei,75.5207
ta060,50,127757,3.06807,tei,92.2076
ta060,50,127757,3.06807,tei,92.6841
ta060,50,128500,3.66749,tei,88.9613
ta060,50,127757,3.06807,tei,97.4989
ta060,50,127757,3.06807,tei,96.8536
